Lon,Lat,Z
60.384016,5.357289,58.308
60.384063,5.357217,58.208
60.384112,5.357107,58.308
60.384259,5.355979,57.608
60.384264,5.355868,57.608
60.384284,5.355583,57.508
60.384313,5.355311,57.408
60.387202,5.347772,42.107
60.387214,5.347579,41.907
60.387304,5.346295,39.61
60.3873,5.346234,39.607
60.38729,5.346074,39.207
60.38727,5.34593,39.007
60.387256,5.345847,38.907
60.387232,5.34571,38.407
60.387223,5.345639,38.257
60.388425,5.341815,21.182
60.388471,5.34169,20.907
60.388925,5.340437,16.807
60.388994,5.340252,16.207
60.389059,5.340087,15.607
60.389108,5.339957,15.107
60.38916,5.339817,14.707
60.389208,5.33969,14.207
60.389208,5.33969,14.207
60.389255,5.339566,13.407
60.389909,5.337866,10.943
60.389934,5.337795,10.907
60.390052,5.337485,10.907
60.390153,5.337214,11.107
60.392394,5.331923,10.64
60.39244,5.331839,8.906
60.39249,5.331759,8.606
60.392816,5.33117,7.6
60.392855,5.331099,7.706
60.392921,5.331038,7.606
60.392888,5.330875,7.306
60.392881,5.330835,7.282
60.39286,5.330774,7.238
60.392832,5.330718,7.193
60.392778,5.330616,7.106
60.392483,5.329898,8.106
60.392484,5.329816,7.906
60.392513,5.32971,7.906
60.392529,5.32965,7.806
60.392565,5.329535,7.706
60.392599,5.329446,7.406
60.392672,5.329236,7.206
60.39269,5.329172,7.106
60.392755,5.328982,6.606
60.392799,5.328845,6.306
60.392799,5.328845,6.306
60.39286,5.328676,5.906
60.393108,5.327424,4.506
60.393116,5.327268,4.606
60.390654,5.335913,11.54
60.390719,5.335684,11.207
60.390412,5.336597,11.873
60.390465,5.336508,11.907
60.390486,5.336461,11.907
60.390544,5.336315,11.807
60.390575,5.336194,11.707
